ID,lat,lon,workload,conn
596,31.09491,121.4368,11472,10
597,31.095422,121.393617,77,2
598,31.09588,121.3506,10682,9
599,31.09599,121.238111,863,3
600,31.09605,121.5182,5551,4
601,31.096325,121.341209,6377,6
602,31.0982,121.3231,94,8
603,31.098359,121.073778,1109,7
604,31.09856,121.3771,8814,5
605,31.098701,121.582178,9247,6
606,31.09909,121.3862,5681,5
607,31.099126,121.813976,1499,4
608,31.09964,121.4496,12824,6
609,31.099755,121.009542,324,3
610,31.10003,121.6635,4573,5
611,31.100465,121.401931,7994,6
612,31.10114,121.1816,5641,6
613,31.101299,120.918138,468,3
614,31.102,121.4623,2715,3
615,31.10221,121.277743,85,5
616,31.10245,121.4139,11184,7
617,31.10346,121.419988,77,4
618,31.1036,121.4161,120,8
619,31.10366,121.420217,9005,8
620,31.10385,121.81,5469,3
621,31.103957,121.456645,0,0
622,31.10498,121.3609,7620,7
623,31.105352,121.438535,7207,4
624,31.10581,121.0387,4162,5
625,31.106089,121.039819,6395,5
626,31.10641,121.4502,266,3
627,31.106732,121.290566,487,4
628,31.10676,121.399,6657,3
629,31.107362,121.020176,4106,1
630,31.10857,121.7669,10203,6
631,31.108792,121.061126,1768,3
632,31.10888,121.3453,7627,6
633,31.10888,121.390919,8460,5
634,31.10927,121.6174,7583,4
635,31.109649,121.402441,9096,8
636,31.10967,121.0529,5215,3
637,31.109806,121.242241,8032,6
638,31.11,121.1648,10509,4
639,31.110093,121.371253,1009,5
640,31.11061,121.5172,2907,2
641,31.110847,121.509512,10,0
642,31.11106,121.3957,243,1
643,31.111358,121.020928,3590,1
644,31.1114,121.3794,7761,9
645,31.111607,121.324796,9995,6
646,31.11182,121.3855,11345,7
647,31.111905,121.05229,1083,2
648,31.11199,121.3852,188,2
649,31.112344,121.480257,8054,7
650,31.11255,121.5388,9733,9
651,31.112806,121.462647,4006,6
652,31.1129,121.3674,108,10
653,31.113159,121.06421,6070,2
654,31.1135,121.393,6355,6
655,31.113675,121.383752,1094,3
656,31.11374,121.3419,8478,8
657,31.113798,121.382691,1093,3
658,31.11404,121.4151,9471,4
659,31.114131,121.394475,10821,5
660,31.11447,121.4608,390,4
661,31.115176,121.36579,4548,5
662,31.11577,120.9079,254,2
663,31.116021,121.287621,11774,11
664,31.11609,121.4883,1538,3
665,31.116103,121.43571,13952,7
666,31.11654,121.6781,2793,5
667,31.11674,121.586334,8467,6
668,31.11679,121.1665,7118,2
669,31.116903,121.595022,8135,4
670,31.11701,121.2712,11284,6
671,31.1171,121.391692,549,5
672,31.11784,121.4021,10316,6
673,31.11794,121.457471,7827,7
674,31.11872,121.2484,6202,4
675,31.119287,121.204986,2612,6
676,31.11956,121.0363,5376,2
677,31.119755,121.577952,2058,4
678,31.11981,121.0711,8274,2
679,31.120602,121.581473,7452,6
680,31.12071,121.4269,10971,7
681,31.120753,121.381579,9529,6
682,31.12082,121.29,7967,5
683,31.120864,121.389141,10187,7
684,31.12113,121.2438,5820,5
685,31.121152,121.141999,6927,7
686,31.12136,121.3691,7990,10
687,31.121932,121.33481,9261,9
688,31.122,121.3938,1630,4
689,31.122449,121.582926,5947,4
690,31.12262,121.4338,12239,5
691,31.122643,121.734179,5644,4
692,31.12298,121.7046,4948,6
693,31.123026,120.926117,610,13
694,31.12339,121.278,11364,7
695,31.123621,121.266561,1181,3
696,31.12376,120.9019,3,0
697,31.12408,121.716759,5268,5
698,31.1245,121.3279,9819,5
699,31.124664,121.323455,11136,8
700,31.12481,121.5083,4364,5
701,31.125467,121.581832,10543,9
702,31.1257,121.464,6408,6
703,31.125764,121.562057,10981,9
704,31.12618,121.378,1707,3
705,31.126339,121.573213,8627,3
706,31.12675,120.9341,859,15
707,31.126777,121.367557,1915,4
708,31.12722,121.3355,12787,6
709,31.127539,121.389284,5210,3
710,31.12784,121.3807,10100,4
711,31.127879,121.452728,2345,5
712,31.12823,121.4544,8309,6
713,31.128344,121.629697,159,1
714,31.12936,121.4251,16,0
715,31.129482,121.192266,2517,2
716,31.12996,121.3368,9963,6
717,31.130862,121.091425,12618,6
718,31.13089,121.4724,7249,6
719,31.13107,121.298444,11170,4
720,31.13123,121.3988,11837,11
721,31.131416,121.429704,11537,6
722,31.13231,121.3627,6435,6
723,31.132602,121.095863,458,3
724,31.13264,121.3244,7658,4
725,31.132785,121.413457,9833,8
726,31.13283,121.1728,4504,4
727,31.133956,121.526289,5812,12
728,31.13425,121.2805,7583,7
729,31.134484,121.42764,4161,3
730,31.13455,121.391,11977,6
731,31.134786,121.444969,10572,6
732,31.13492,121.3343,2824,5
733,31.135275,121.765517,38,0
734,31.13623,121.7785,2593,4
735,31.136777,121.546762,4701,6
736,31.13694,121.3259,105,6
737,31.137143,121.545715,4461,5
738,31.13751,121.4077,10949,15
739,31.13756,121.339005,9589,9
740,31.13758,121.0839,2100,4
741,31.138371,121.416975,11182,9
742,31.13867,121.3985,494,4
743,31.139017,121.545465,3981,1
744,31.13902,121.3233,38,0
745,31.139255,121.409759,4189,8
746,31.139657,121.298915,13187,4
747,31.13966,121.379,174,4
748,31.13972,121.6739,7835,6
749,31.140348,121.210964,210,5
750,31.14038,121.6208,10132,12
751,31.140855,121.360032,9663,8
752,31.14098,121.5862,7543,5
753,31.141245,121.500503,5362,8
754,31.14198,121.4599,6425,5
755,31.142218,121.413767,2522,6
756,31.14259,121.7565,305,3
757,31.142865,121.330843,8484,4
758,31.14294,121.4439,5583,6
759,31.143297,121.132883,13175,6
760,31.14335,121.3528,314,15
761,31.143681,121.353698,1478,3
762,31.14375,121.4344,4448,6
763,31.143774,121.519955,7480,4
764,31.14384,120.9357,507,3
765,31.143965,121.573343,9655,4
766,31.14421,121.5083,4029,6
767,31.144653,121.478451,3078,8
768,31.14481,121.1196,7321,6
769,31.145387,121.61623,6351,4
770,31.14544,121.4174,11346,14
771,31.145641,121.449009,2393,5
772,31.14565,121.3756,3212,6
773,31.145979,121.376079,276,1
774,31.14611,121.5043,199,4
775,31.146285,121.518893,1460,3
776,31.14631,121.4,11924,15
777,31.146522,121.352501,12062,15
778,31.14655,121.2354,10027,4
779,31.147783,121.366475,9576,4
780,31.1479,121.4034,5908,7
781,31.148334,121.420448,1365,3
782,31.14877,121.3872,11136,9
783,31.148785,121.115114,3198,4
784,31.14885,121.3149,9559,9
785,31.149062,121.392526,435,3
786,31.14963,121.4392,6366,6
