ID,latitude,longitude,UserAccessTime(min),UserAccessNum,worktime(min)
826,31.156365,121.41831,290.03333333333336,15,290.03333333333336
827,31.156454,121.815297,2695.8333333333335,58,2049.1833333333334
828,31.156811,121.236841,1008.3833333333333,19,828.7833333333333
829,31.156874,121.348458,18914.3,439,5891.583333333333
830,31.156928,121.121902,1454.4,23,1086.1666666666667
831,31.156954,121.146623,304.4166666666667,3,304.4166666666667
832,31.15702,121.106352,1168.2,18,943.0
833,31.157022,121.498865,409.75,15,306.43333333333334
834,31.157151,121.431115,851.0833333333334,32,636.7333333333333
835,31.157241,121.418919,281957.1666666667,1104,12227.216666666667
836,31.157362,121.221594,5258.0,113,3472.55
837,31.157536,121.203337,68625.28333333334,880,9449.533333333333
838,31.157677,121.424531,34270.71666666667,244,7793.266666666666
839,31.158202,121.389411,30767.8,485,8120.766666666666
840,31.158515,121.1384,39074.9,442,10021.233333333334
841,31.158559,121.319801,63993.433333333334,747,9942.166666666666
842,31.158843,121.127268,54192.71666666667,521,9472.683333333332
843,31.159304,121.358718,176412.98333333334,2277,11128.316666666668
844,31.159523,121.435774,22952.266666666666,236,5387.216666666666
845,31.159536,121.1442,1089.2833333333333,34,787.2666666666667
846,31.159569,121.145966,4247.466666666666,70,2280.5
847,31.159667,121.515041,20843.616666666665,323,6220.366666666667
848,31.159704,121.457647,29479.916666666668,377,8577.0
849,31.159756,121.525433,10022.233333333334,148,4562.2
850,31.159771,121.58896,2067.0833333333335,32,1029.1333333333334
851,31.160079,121.37079,219442.21666666667,2749,6796.95
852,31.160199,121.557134,15956.683333333332,257,5468.816666666667
853,31.160324,121.508559,23.916666666666668,1,23.916666666666668
854,31.160355,121.454785,3776.116666666667,112,2554.2833333333333
855,31.161027,121.722478,9239.7,188,3486.3166666666666
856,31.161066,121.354642,3385.9,47,1240.4666666666667
857,31.161442,121.507559,304.4,15,162.83333333333334
858,31.161635,121.286602,3792.2,71,2389.95
859,31.161896,121.135143,42.916666666666664,2,42.916666666666664
860,31.162111,121.566673,2067.15,35,1025.7
861,31.162282,121.426688,17006.766666666666,244,6644.483333333334
862,31.162395,121.353836,3527.116666666667,72,1752.2333333333333
863,31.162463,121.364262,23632.75,798,5741.483333333334
864,31.162714,121.772242,12574.4,205,4690.85
865,31.162868,121.448422,31887.083333333332,378,6971.35
866,31.163201,121.11139,10977.866666666667,227,4187.816666666667
867,31.163339,121.469291,3700.1833333333334,142,2608.266666666667
868,31.163393,121.381735,118530.03333333334,920,11906.016666666666
869,31.1634,121.396418,56.96666666666667,3,56.96666666666667
870,31.163432,121.354451,217696.81666666668,1013,11891.25
871,31.163459,121.574025,36612.65,741,7860.5
872,31.16346,121.405127,44246.2,753,10127.1
873,31.163705,121.503747,240626.23333333334,1255,11820.666666666666
874,31.164195,121.330502,138344.61666666667,988,11191.35
875,31.164838,121.410811,4015.8333333333335,62,1592.4666666666667
876,31.165339,121.427732,21662.033333333333,453,7046.533333333334
877,31.165389,121.119468,22.233333333333334,3,22.233333333333334
878,31.16584,121.530742,11749.3,152,4129.5
879,31.166007,121.457766,24159.316666666666,580,6330.25
880,31.166046,121.642137,3535.883333333333,31,2487.633333333333
881,31.166058,121.403691,7291.133333333333,91,3285.883333333333
882,31.166365,121.419792,9759.566666666668,321,5547.066666666667
883,31.166408,121.569203,91554.76666666666,748,9226.5
884,31.16691,121.115166,15776.633333333333,307,5251.883333333333
885,31.167279,121.113649,11871.05,134,5051.983333333334
886,31.167548,121.425927,34.4,2,34.4
887,31.167947,121.670231,20104.866666666665,500,5873.8
888,31.16807,121.488657,7097.55,145,3835.366666666667
889,31.168125,121.503534,676.9166666666666,17,487.06666666666666
890,31.168241,121.437559,9745.266666666666,98,5161.35
891,31.168296,121.588625,6138.65,119,2939.5833333333335
892,31.168501,121.402505,423.71666666666664,35,181.36666666666667
893,31.168519,121.804669,9967.216666666667,170,4983.933333333333
894,31.168688,121.487892,358.06666666666666,2,179.03333333333333
895,31.16872,121.768142,13984.683333333332,260,5261.333333333333
896,31.168853,121.394657,12426.333333333334,186,4674.733333333334
897,31.168922,121.412651,101516.76666666666,441,9800.866666666667
898,31.168938,121.54333,7517.133333333333,284,4590.383333333333
899,31.169078,121.433389,96.48333333333333,7,96.48333333333333
900,31.169488,121.349667,1026.5333333333333,14,524.0666666666667
901,31.169494,121.302234,375.65,38,241.8
902,31.169703,121.412163,3922.9333333333334,83,2413.45
903,31.169796,121.52847,4814.216666666666,168,3567.2
904,31.169908,121.418183,825.5333333333333,10,584.0
905,31.170097,121.608906,6112.35,91,3408.4
906,31.17023,121.337413,243048.71666666667,1427,13081.633333333333
907,31.170526,121.34996,357.48333333333335,4,357.48333333333335
908,31.170804,121.278846,21.1,1,21.1
909,31.170967,121.40072,1675.4166666666667,12,960.55
910,31.171101,121.507145,50969.26666666667,635,8655.166666666666
911,31.17148,121.411456,108.41666666666667,9,72.9
912,31.171648,121.110276,4872.633333333333,107,2599.9
913,31.171686,121.441221,39957.083333333336,659,6937.2
914,31.171916,121.718029,5176.75,99,2821.0833333333335
915,31.171972,121.140685,57576.13333333333,590,10110.3
916,31.17216,121.347748,138.81666666666666,7,47.483333333333334
